country,indicator,year,value
5Y,GGXWDG_GDP,1990,36.7979399848065
5Y,GGXWDG_GDP,1991,37.3643338613737
5Y,GGXWDG_GDP,1992,35.3426924080523
5Y,GGXWDG_GDP,1993,37.2569113870974
5Y,GGXWDG_GDP,1994,38.1593199922793
5Y,GGXWDG_GDP,1995,39.0431481823256
5Y,GGXWDG_GDP,1996,37.4971089975099
5Y,GGXWDG_GDP,1997,38.2837335045412
5Y,GGXWDG_GDP,1998,43.451744320961
5Y,GGXWDG_GDP,1999,52.3165758964671
5Y,GGXWDG_GDP,2000,57.8507112049253
5Y,GGXWDG_GDP,2001,65.3229363791359
5Y,GGXWDG_GDP,2002,74.2107714844587
5Y,GGXWDG_GDP,2003,75.2305949529611
5Y,GGXWDG_GDP,2004,77.5990023244645
5Y,GGXWDG_GDP,2005,71.3899934147306
5Y,GGXWDG_GDP,2006,68.6974575001339
5Y,GGXWDG_GDP,2007,74.2747681433152
5Y,GGXWDG_GDP,2008,72.9169298737958
5Y,GGXWDG_GDP,2009,83.4551061596088
5Y,GGXWDG_GDP,2010,84.9484609529617
5Y,GGXWDG_GDP,2011,86.1549385991746
5Y,GGXWDG_GDP,2012,86.5367466019282
5Y,GGXWDG_GDP,2013,85.8290282825157
5Y,GGXWDG_GDP,2014,84.0108289176327
5Y,GGXWDG_GDP,2015,81.2676846805414
AE,GGXWDG_GDP,1973,1.0115
AE,GGXWDG_GDP,1974,1.55998
AE,GGXWDG_GDP,1975,2.50302
AE,GGXWDG_GDP,1976,4.46397
AE,GGXWDG_GDP,1977,5.136
AE,GGXWDG_GDP,1978,4.87581
AE,GGXWDG_GDP,1979,5.21031
AE,GGXWDG_GDP,1980,3.50432
AE,GGXWDG_GDP,1981,3.2223
AE,GGXWDG_GDP,1982,4.55294
AE,GGXWDG_GDP,1983,5.48999
AE,GGXWDG_GDP,1984,5.69053
AE,GGXWDG_GDP,1985,10.9403
AE,GGXWDG_GDP,1986,10.2021
AE,GGXWDG_GDP,1987,8.57439
AE,GGXWDG_GDP,1988,7.72061
AE,GGXWDG_GDP,1989,7.08585
AE,GGXWDG_GDP,1990,6.52153
AE,GGXWDG_GDP,1991,8.23964
AE,GGXWDG_GDP,1992,9.13574
AE,GGXWDG_GDP,1993,9.14968
AE,GGXWDG_GDP,1994,9.13714
AE,GGXWDG_GDP,1995,8.55297
AE,GGXWDG_GDP,1996,5.89801
AE,GGXWDG_GDP,1997,4.84277
AE,GGXWDG_GDP,1998,7.13875
AE,GGXWDG_GDP,1999,4.81531495501266
AE,GGXWDG_GDP,2000,3.09265776465136
AE,GGXWDG_GDP,2001,2.68968848289814
AE,GGXWDG_GDP,2002,3.59459820892458
AE,GGXWDG_GDP,2003,4.40369045333119
AE,GGXWDG_GDP,2004,5.64005727376988
AE,GGXWDG_GDP,2005,6.63151356361156
AE,GGXWDG_GDP,2006,6.84153839437208
AE,GGXWDG_GDP,2007,7.852535719655
AE,GGXWDG_GDP,2008,12.530937358531
AE,GGXWDG_GDP,2009,24.0835908032556
AE,GGXWDG_GDP,2010,22.225315790994
AE,GGXWDG_GDP,2011,17.5516751380171
AE,GGXWDG_GDP,2012,17.0346405100082
AE,GGXWDG_GDP,2013,15.8202375218276
AE,GGXWDG_GDP,2014,15.5850459152944
AE,GGXWDG_GDP,2015,18.0762995817214
AF,GGXWDG_GDP,2002,280.979169489507
AF,GGXWDG_GDP,2003,273.47089276156
AF,GGXWDG_GDP,2004,243.437705404115
AF,GGXWDG_GDP,2005,204.033972048842
AF,GGXWDG_GDP,2006,23.0193701030313
AF,GGXWDG_GDP,2007,20.2399098780025
AF,GGXWDG_GDP,2008,18.369594029807
AF,GGXWDG_GDP,2009,16.7755643621567
AF,GGXWDG_GDP,2010,7.90155288257144
AF,GGXWDG_GDP,2011,7.13664867806312
AF,GGXWDG_GDP,2012,6.62524928528885
AF,GGXWDG_GDP,2013,6.74872467481724
AF,GGXWDG_GDP,2014,6.38030001837899
AF,GGXWDG_GDP,2015,6.24600667400587
AG,GGXWDG_GDP,1998,102.608628099797
AG,GGXWDG_GDP,1999,104.602719910733
AG,GGXWDG_GDP,2000,110.83755086541
AG,GGXWDG_GDP,2001,122.025010095682
AG,GGXWDG_GDP,2002,128.165042420024
AG,GGXWDG_GDP,2003,127.519056663837
AG,GGXWDG_GDP,2004,122.985105455756
AG,GGXWDG_GDP,2005,94.9901756540801
AG,GGXWDG_GDP,2006,90.8679283159625
AG,GGXWDG_GDP,2007,79.2016807041347
AG,GGXWDG_GDP,2008,77.2710306811794
AG,GGXWDG_GDP,2009,102.460057797386
AG,GGXWDG_GDP,2010,90.7818171506254
AG,GGXWDG_GDP,2011,92.4307310259598
AG,GGXWDG_GDP,2012,87.1474888218112
AG,GGXWDG_GDP,2013,94.2630905807603
AG,GGXWDG_GDP,2014,100.422125885386
AG,GGXWDG_GDP,2015,104.357530015991
AI,GGXWDG_GDP,2000,9.12634253101428
AI,GGXWDG_GDP,2001,10.5629598326683
AI,GGXWDG_GDP,2002,12.2454921327228
AI,GGXWDG_GDP,2003,11.6824900682558
AI,GGXWDG_GDP,2004,15.9891739779803
AI,GGXWDG_GDP,2005,17.4468300070816
AI,GGXWDG_GDP,2006,14.0355051696122
AI,GGXWDG_GDP,2007,14.0377065478481
AI,GGXWDG_GDP,2008,15.3957456404063
AI,GGXWDG_GDP,2009,25.1037012166566
AI,GGXWDG_GDP,2010,32.4965259243769
AI,GGXWDG_GDP,2011,29.2054477880673
